feature,direction,lag,bucket_type,bucket,label,extreme_deciles,coverage,rows,row_share,events,rate,base,lift,ci_low,ci_high,rho,rho_deciles,sufficient,pass_build,window,pass_holdout
pb,LOW,12,drawdown,20-30,launch_300,1,0.9654905547542829,3233,0.11779494279676456,13,0.004021033096195484,0.004080740362894411,0.9853685210551898,0.5762354883671125,1.6829904170091283,,0,False,False,build,
pb,LOW,12,drawdown,>30,win_50,1,0.9769304272648678,2533,0.11797857475547276,731,0.28859060402684567,0.2959944108057755,0.9749866669482891,0.9164895973387497,1.0356468217927082,0.8666666666666667,10,True,False,build,
pb,LOW,12,drawdown,>30,win_100,1,0.9769304272648678,2533,0.11797857475547276,304,0.12001579155151994,0.09809035863996274,1.2235228132056661,1.100332033003211,1.358445594207602,0.24848484848484848,10,True,False,build,
pb,LOW,12,drawdown,>30,launch_300,1,0.9769304272648678,2533,0.11797857475547276,76,0.030003947887879984,0.02966930600838379,1.0112790598944792,0.8102319991815944,1.2603016394239785,,1,False,False,build,
pb,LOW,12,mst,0-12,win_50,1,0.9568071489761981,33191,0.11653815904047639,3700,0.11147600253080654,0.11839906182410606,0.9415277521068163,0.9133099976413348,0.9705050020165771,0.9030303030303031,10,True,False,build,
pb,LOW,12,mst,0-12,win_100,1,0.9568071489761981,33191,0.11653815904047639,954,0.0287427314633485,0.027576472570995197,1.042291808328668,0.9790608103345151,1.1094780653884535,0.6121212121212121,10,True,False,build,
pb,LOW,12,mst,0-12,launch_300,1,0.9568071489761981,33191,0.11653815904047639,177,0.005332770931879124,0.007008230105895902,0.7609297713259666,0.6570056969379464,0.881190396714244,0.9272727272727272,10,True,False,build,
pb,LOW,12,mst,13-24,win_50,1,0.9564948271288355,3889,0.11984222366028782,412,0.10593983029056313,0.11950325105543742,0.8865016587826364,0.8087902976875287,0.970720941103258,0.7818181818181819,10,True,False,build,
pb,LOW,12,mst,13-24,win_100,1,0.9564948271288355,3889,0.11984222366028782,95,0.024427873489328875,0.02419031770977782,1.0098202835696959,0.8278155821675042,1.2306252138880034,,2,False,False,build,
pb,LOW,12,mst,13-24,launch_300,1,0.9564948271288355,3889,0.11984222366028782,9,0.0023142195937258937,0.0030815691350035436,0.7509874003599898,0.3952585145746815,1.425460848501104,,0,False,False,build,
pb,LOW,12,mst,>24,win_50,1,0.9661529504988923,6988,0.11696572040707016,711,0.1017458500286205,0.09843666309587573,1.0336174229059518,0.9638190643640439,1.1078614598143974,0.6,10,True,False,build,
pb,LOW,12,mst,>24,win_100,1,0.9661529504988923,6988,0.11696572040707016,176,0.025186033199771037,0.020353508302088912,1.2374295785255929,1.0693433197832982,1.4311499812433617,0.2857142857142857,8,True,False,build,
pb,LOW,12,mst,>24,launch_300,1,0.9661529504988923,6988,0.11696572040707016,23,0.003291356611333715,0.0032639260846277452,1.0084041507052381,0.6722800849469872,1.5117512181272457,,0,False,False,build,
dividend_yield,LOW,0,all,ALL,win_50,1,0.9998271606821053,192049,0.48822582818327187,29113,0.15159152091393344,0.11704515699319455,1.295154150826997,1.2815102911735727,1.3089170909983145,-0.7857142857142857,7,True,False,build,
dividend_yield,LOW,0,all,ALL,win_100,1,0.9998271606821053,192049,0.48822582818327187,8165,0.04251519143551906,0.027275200134227847,1.558749018386356,1.5259995891619678,1.5921694347232624,-0.32142857142857145,7,True,False,build,
dividend_yield,LOW,0,all,ALL,launch_300,1,0.9998271606821053,192049,0.48822582818327187,2126,0.011070091487068404,0.006612246765693599,1.6741800297749767,1.6048739451666523,1.74644414727736,,2,True,False,build,
