flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes
h20_leverage_ok,3,mst,13-24,33927,33734,21519,43,40,launch_500,0.9943113154714535,0.6379024129957906,0.0012746783660401969,0.0018588224359868024,1.4582678152460185,1.0712088625828293,1.9848281164899229,40,False,False
h20_leverage_ok,3,mst,>24,61837,61165,42365,69,52,launch_500,0.989132719892621,0.6926346766941879,0.0011280961334096298,0.0012274283016641095,1.0880529285693514,0.829898009041286,1.4263823089399235,52,False,False
h20_leverage_ok,6,all,ALL,393429,387402,242213,615,422,launch_500,0.9846808445742434,0.6252239275997543,0.0015874982576238636,0.0017422681689256976,1.0974929645173221,0.9977331287077146,1.2072082902562022,422,True,False
h20_leverage_ok,6,drawdown,0-10,304121,299196,185002,407,268,launch_500,0.9838057878278711,0.6183304589633551,0.001360312303640423,0.0014486329877514837,1.0649267700326608,0.9449062155121496,1.20016723259997,268,True,False
h20_leverage_ok,6,drawdown,10-20,38904,38311,25297,54,43,launch_500,0.984757351429159,0.6603064394038266,0.0014095168489467777,0.001699806301142428,1.2059496148716216,0.8955329906484075,1.6237186997915263,43,False,False
h20_leverage_ok,6,drawdown,20-30,28427,28211,17560,36,32,launch_500,0.9924015900376403,0.6224522349438163,0.0012760979759668214,0.0018223234624145787,1.4280435332827135,1.0118293266613332,2.0150259078726616,32,False,False
h20_leverage_ok,6,drawdown,>30,21977,21684,14354,118,79,launch_500,0.9866678800564226,0.6619627375023058,0.005441800405829183,0.0055036923505643025,1.0113734316070875,0.8119838793950844,1.2593877443473112,79,False,False
h20_leverage_ok,6,mst,0-12,297665,293036,179095,507,327,launch_500,0.9844489610804091,0.6111706411498928,0.001730162846885707,0.0018258466177168541,1.0553033322865406,0.9470377480469041,1.175920641630779,327,True,False
h20_leverage_ok,6,mst,13-24,33927,33628,20910,43,41,launch_500,0.9911869602381584,0.6218032591887712,0.0012786963244914953,0.00196078431372549,1.533424532603739,1.130669454784558,2.0792627617886716,41,False,False
h20_leverage_ok,6,mst,>24,61837,60738,42208,65,54,launch_500,0.9822274689910572,0.6949191609865323,0.0010701702393888504,0.0012793783169067474,1.195490464804339,0.9164508919617212,1.5593496616848799,54,False,False
h20_leverage_ok,12,all,ALL,393429,380722,241312,573,396,launch_500,0.9677019233457625,0.633827307063947,0.001505035170019069,0.0016410290412412147,1.0903592646412525,0.9881984836434021,1.2030623605174755,396,True,False
h20_leverage_ok,12,drawdown,0-10,304121,293835,184682,371,251,launch_500,0.966177935755834,0.6285228104208144,0.0012626133714499633,0.001359092927302065,1.0764125883929982,0.9513007083947903,1.2179534295050254,251,True,False
h20_leverage_ok,12,drawdown,10-20,38904,37739,24510,49,41,launch_500,0.9700544931112483,0.6494607700257029,0.0012983915843027107,0.0016727866177070584,1.2883529421560547,0.9499355522178777,1.747058725405434,41,False,False
h20_leverage_ok,12,drawdown,20-30,28427,27841,17528,36,33,launch_500,0.9793857951947093,0.6295750871017564,0.0012930570022628496,0.0018827019625741672,1.4560084816674275,1.037041526343203,2.0437910472766254,33,False,False
h20_leverage_ok,12,drawdown,>30,21977,21307,14592,117,71,launch_500,0.9695135823815807,0.6848453559862956,0.005491153142159854,0.004865679824561404,0.8860943591617935,0.7028799016708793,1.1167719627152861,71,False,False
h20_leverage_ok,12,mst,0-12,297665,287594,180667,472,305,launch_500,0.9661666638670989,0.6282015619241014,0.0016412025285645736,0.0016881887671793964,1.0286291531953207,0.9195629113375717,1.150606907583564,305,True,False
h20_leverage_ok,12,mst,13-24,33927,33356,19601,43,42,launch_500,0.9831697468093259,0.5876304113203022,0.0012891233960906584,0.0021427478189888272,1.662174331399798,1.2300755680858753,2.2456198788423762,42,False,False
h20_leverage_ok,12,mst,>24,61837,59772,41044,58,49,launch_500,0.9666057538366997,0.6866760356019541,0.000970354011911932,0.001193840756261573,1.2303146497114954,0.9308166043932561,1.6260265159441643,49,False,False
h21_no_dilution,0,all,ALL,393429,371223,208987,535,113,launch_500,0.9435577956886757,0.5629688893198966,0.0014411822543323016,0.000540703488733749,0.3751805069125393,0.3121022397380773,0.4509990878928827,113,True,False
h21_no_dilution,0,drawdown,0-10,304121,286373,160620,349,73,launch_500,0.9416416492119912,0.5608768983109441,0.0012186903094914673,0.00045448885568422363,0.3729321979050378,0.2966465656821676,0.4688242310608845,73,False,False
h21_no_dilution,0,drawdown,10-20,38904,36871,20011,46,0,launch_500,0.9477431626567963,0.5427300588538417,0.0012475929592362562,0.0,0.0,0.0,0.1538406546779715,0,False,False
h21_no_dilution,0,drawdown,20-30,28427,27423,15469,34,0,launch_500,0.9646814648045872,0.5640885388177806,0.0012398351748532253,0.0,0.0,0.0,0.20024522090325403,0,False,False
h21_no_dilution,0,drawdown,>30,21977,20556,12887,106,40,launch_500,0.9353414933794422,0.6269215800739444,0.005156645261724071,0.0031039031582214636,0.6019229558528341,0.442220297264294,0.8190562002831637,40,False,False
h21_no_dilution,0,mst,0-12,297665,279763,163674,441,106,launch_500,0.9398585658374347,0.585045198971987,0.0015763342543510042,0.0006476288231484536,0.4108448581643556,0.3397412104361063,0.4968179625367586,106,True,False
h21_no_dilution,0,mst,13-24,33927,33043,17929,39,0,launch_500,0.9739440563562944,0.5425960112580577,0.0011802802408982236,0.0,0.0,-1.1482465508153371e-17,0.18149386249676308,0,False,False
h21_no_dilution,0,mst,>24,61837,58417,27384,55,7,launch_500,0.9446933065963743,0.46876765325162195,0.0009415067531711659,0.0002556237218813906,0.2715049265662763,0.1315251190366948,0.560384102488379,7,False,False
h21_no_dilution,3,all,ALL,393429,366246,205182,509,111,launch_500,0.9309074826715875,0.560230009337986,0.0013897762705940815,0.0005409831271748984,0.38925914812435725,0.32328121999748477,0.4686936272217194,111,True,False
h21_no_dilution,3,drawdown,0-10,304121,282559,157664,331,68,launch_500,0.929100588252702,0.5579861197130511,0.0011714367618798197,0.0004312969352547189,0.36817773634029644,0.29046449435876076,0.466671643099158,68,False,False
h21_no_dilution,3,drawdown,10-20,38904,36476,19412,45,0,launch_500,0.9375899650421551,0.5321855466608181,0.0012336879043754797,0.0,0.0,0.0,0.16037425985476866,0,False,False
h21_no_dilution,3,drawdown,20-30,28427,27083,15646,32,0,launch_500,0.9527210046786506,0.5777055717608832,0.0011815530037292768,0.0,0.0,0.0,0.2077461758068997,0,False,False
h21_no_dilution,3,drawdown,>30,21977,20128,12460,101,43,launch_500,0.9158665877963326,0.6190381558028617,0.005017885532591415,0.003451043338683788,0.687748518029973,0.5108173978646582,0.9256776377065001,43,False,False
