flag,lag,bucket_type,bucket,rows_all,n_nn,n_true,k_nn,k_true,threshold,coverage,true_share,base,rate,lift,ci_low,ci_high,events,sufficient,passes,window,confirm
h10_sponsorship,3,drawdown,0-10,98461,93912,5845,385,36,launch_500,0.9537989660880958,0.06223911747167561,0.004099582587954681,0.006159110350727117,1.502374990279182,1.0860423751975008,2.0769430390302555,36,False,False,holdout,False
h10_sponsorship,3,drawdown,10-20,34770,32605,1707,137,13,launch_500,0.9377336784584411,0.05235393344579052,0.004201809538414354,0.007615700058582308,1.8124810248910668,1.0605104526196527,3.0906920775812856,13,False,False,holdout,False
h10_sponsorship,3,drawdown,20-30,2498,2484,141,12,0,launch_500,0.9943955164131305,0.05676328502415459,0.004830917874396135,0.0,0.0,0.0,5.490016426028675,0,False,False,holdout,False
h10_sponsorship,3,mst,0-12,121373,114951,6893,427,35,launch_500,0.9470887264877691,0.059964680603039555,0.003714626232046698,0.005077614971710431,1.3669248679463366,0.9835010825062844,1.8987705297215003,35,False,False,holdout,False
h10_sponsorship,3,mst,13-24,14356,14050,800,107,14,launch_500,0.9786848704374478,0.05693950177935943,0.0076156583629893235,0.0175,2.2978971962616828,1.3725068764929784,3.828831435029295,14,False,False,holdout,False
h10_sponsorship,6,all,ALL,135729,128320,7618,543,49,launch_500,0.9454132867699607,0.05936720698254364,0.0042316084788029925,0.006432134418482541,1.5200211576053033,1.1506326794190227,2.0069826552480494,49,False,False,holdout,False
h10_sponsorship,6,drawdown,0-10,98461,92920,5628,389,38,launch_500,0.9437239109901382,0.06056823073611709,0.004186396900559621,0.006751954513148543,1.612831910955688,1.1760267801184217,2.210368445243276,38,False,False,holdout,False
h10_sponsorship,6,drawdown,10-20,34770,32968,1841,142,11,launch_500,0.948173712970952,0.05584202863382674,0.004307206988595001,0.005975013579576317,1.387213011911775,0.7753584666528629,2.4767291325785337,11,False,False,holdout,False
h10_sponsorship,6,drawdown,20-30,2498,2432,149,12,0,launch_500,0.9735788630904724,0.06126644736842105,0.004934210526315789,0.0,0.0,0.0,5.093746633326569,0,False,False,holdout,False
h10_sponsorship,6,mst,0-12,121373,114305,6863,438,35,launch_500,0.9417662906906807,0.06004111806132715,0.0038318533747430123,0.0050998105784642285,1.3308991967382502,0.9575831532043177,1.8487185856571515,35,False,False,holdout,False
h10_sponsorship,6,mst,13-24,14356,14015,755,105,14,launch_500,0.9762468654221231,0.05387085265786657,0.007491972886193364,0.018543046357615896,2.4750551876379694,1.478556631999524,4.122187213684957,14,False,False,holdout,False
h10_sponsorship,12,all,ALL,135729,124198,7240,521,49,launch_500,0.915043947866705,0.05829401439636709,0.004194914571893267,0.006767955801104972,1.6133715443102405,1.2213406754191893,2.130107856618806,49,False,False,holdout,False
h10_sponsorship,12,drawdown,0-10,98461,90064,5318,373,31,launch_500,0.9147175023613411,0.059046899982234856,0.004141499378219933,0.005829259119969913,1.4075238428444243,0.9923473840277859,1.9949599988567206,31,False,False,holdout,False
h10_sponsorship,12,drawdown,10-20,34770,31788,1784,137,18,launch_500,0.9142364106988783,0.056121806971184095,0.00430980244117277,0.010089686098654708,2.341101764263035,1.4830591898179075,3.687635151569083,18,False,False,holdout,False
h10_sponsorship,12,drawdown,20-30,2498,2346,138,11,0,launch_500,0.9391513210568455,0.058823529411764705,0.004688832054560955,0.0,0.0,3.69969206785599e-16,5.776015128310784,0,False,False,holdout,False
h10_sponsorship,12,mst,0-12,121373,110903,6584,424,38,launch_500,0.9137369925766027,0.05936719475577757,0.0038231607801412046,0.005771567436208992,1.509632413627089,1.100653010056149,2.0693725395339713,38,False,False,holdout,False
h10_sponsorship,12,mst,13-24,14356,13295,656,97,11,launch_500,0.9260936193925885,0.04934185784129372,0.007295975930801053,0.01676829268292683,2.298293311541363,1.2868022124039393,4.080969484600435,11,False,False,holdout,False
inv_h15_near_high,0,all,ALL,135729,134170,81715,570,448,launch_500,0.9885138769165027,0.6090407691734366,0.004248341656107922,0.005482469558832527,1.2904963872080004,1.1766740874373263,1.4152624388951636,448,True,False,holdout,False
inv_h15_near_high,0,drawdown,0-10,98461,97265,54736,409,302,launch_500,0.987853058571414,0.5627512465943556,0.004205006939803629,0.005517392575270389,1.312100706194803,1.1725534752165743,1.4681526112679486,302,True,False,holdout,False
inv_h15_near_high,0,drawdown,10-20,34770,34435,24765,149,134,launch_500,0.9903652574058096,0.7191810657760999,0.004326992885145927,0.00541086210377549,1.2504901781443556,1.0563379109376407,1.4800975592080228,134,True,False,holdout,False
inv_h15_near_high,0,drawdown,20-30,2498,2470,2214,12,12,launch_500,0.988791032826261,0.8963562753036437,0.004858299595141701,0.005420054200542005,1.1156278229448962,0.638749549713762,1.9451593511915002,12,False,False,holdout,False
inv_h15_near_high,0,mst,0-12,121373,119875,74210,461,375,launch_500,0.9876578810773401,0.6190615224191867,0.003845672575599583,0.005053227327853389,1.3140035269553687,1.1878450582885702,1.4534857759561441,375,True,False,holdout,False
inv_h15_near_high,0,mst,13-24,14356,14295,7505,109,73,launch_500,0.99575090554472,0.5250087443161945,0.007625043721580973,0.009726848767488342,1.2756449828554663,1.0155594536123207,1.6015188663380577,73,False,False,holdout,False
inv_h15_near_high,3,all,ALL,135729,132471,80162,565,431,launch_500,0.9759962867183873,0.6051286696710978,0.004265084433574141,0.005376612359971058,1.260611001659692,1.147349418434052,1.3849869291170434,431,True,False,holdout,False
inv_h15_near_high,3,drawdown,0-10,98461,96119,54892,407,294,launch_500,0.9762139324199429,0.5710837607548975,0.004234334522831074,0.005355971726298914,1.2648910229978512,1.1286403880425084,1.417490776505311,294,True,False,holdout,False
inv_h15_near_high,3,drawdown,10-20,34770,33932,23155,146,125,launch_500,0.9758987633016969,0.6823942001650359,0.004302723093245314,0.005398402072986396,1.2546478023327012,1.0535552186393486,1.4938751859846109,125,True,False,holdout,False
inv_h15_near_high,3,drawdown,20-30,2498,2420,2115,12,12,launch_500,0.9687750200160128,0.8739669421487604,0.0049586776859504135,0.005673758865248227,1.1442080378250592,0.655139042508059,1.9947497371330885,12,False,False,holdout,False
inv_h15_near_high,3,mst,0-12,121373,118227,71800,456,353,launch_500,0.974079902449474,0.6073062836746259,0.0038569869826689334,0.004916434540389972,1.274682689488345,1.1487302520031708,1.4143695001063465,353,True,False,holdout,False
inv_h15_near_high,3,mst,13-24,14356,14244,8362,109,78,launch_500,0.9921983839509613,0.587054198258916,0.007652344846953103,0.00932791198277924,1.2189612686486926,0.977610796707172,1.519197919669416,78,False,False,holdout,False
inv_h15_near_high,6,all,ALL,135729,130678,80058,561,452,launch_500,0.9627861400290284,0.612635638745619,0.004292994995332038,0.005645906717629719,1.3151440250381752,1.1996469344135712,1.4416915249041897,452,True,False,holdout,False
inv_h15_near_high,6,drawdown,0-10,98461,95007,55457,405,316,launch_500,0.9649201206569098,0.5837148841664298,0.0042628437904575454,0.005698108444380331,1.3366918246302273,1.1975506168338776,1.491896251560171,316,True,False,holdout,False
