label,measure,k,winner_median,winner_mean,winner_n,winners,population_median,population_mean,population_months,winner_coverage
win_100,insider_net_buys_12m,-24,0.0,4.5766580261743695,15817,20367,0.0,4.4604985213350234,15817,0.7765994009918005
win_100,insider_net_buys_12m,-21,0.0,4.6709864116758935,15896,20367,0.0,4.575933609958506,15896,0.7804782245789758
win_100,insider_net_buys_12m,-18,1.0,6.389784615384615,16250,20367,0.0,4.759324695720456,16250,0.7978592821721412
win_100,insider_net_buys_12m,-15,1.0,8.663180169286578,16540,20367,0.0,5.278719397363465,16540,0.8120980016693671
win_100,insider_net_buys_12m,-12,1.0,10.008205006242939,16819,20367,0.0,5.700666111573689,16819,0.8257966318063534
win_100,insider_net_buys_12m,-9,1.0,10.749706365985435,17028,20367,0.0,6.016778523489933,17028,0.8360583296509059
win_100,insider_net_buys_12m,-6,1.0,9.685379574320013,17243,20367,0.0,6.006603773584906,17243,0.8466146216919527
win_100,insider_net_buys_12m,-3,1.0,8.147443717422647,18034,20367,0.0,5.6248812915479585,18034,0.885451956596455
win_100,insider_net_buys_12m,0,1.0,7.422667866024657,18899,20367,0.0,5.219280099296649,18899,0.9279226199243875
win_100,insider_net_buys_12m,3,1.0,6.411718790654108,19217,20367,0.0,4.872359154929577,19217,0.9435361123385869
win_100,insider_net_buys_12m,6,1.0,5.360521260578371,19261,20367,0.0,4.6861407249466955,19261,0.9456964697795454
win_100,insider_net_buys_12m,9,0.0,4.3180474140167036,19277,20367,0.0,4.4401256380054965,19277,0.9464820543035303
win_100,insider_net_buys_12m,12,0.0,3.5223137925672523,19293,20367,0.0,3.7031313542090283,19293,0.9472676388275151
win_100,insider_net_buys_12m,15,0.0,3.345833117522142,19307,20367,0.0,3.4178674351585014,19307,0.9479550252860018
win_100,insider_net_buys_12m,18,0.0,3.483595158382694,19415,20367,0.0,3.3127941805733845,19415,0.9532577208228998
win_100,insider_net_buys_12m,21,0.0,3.554252649905269,19529,20367,0.0,3.409801436417406,19529,0.9588550105562921
win_100,insider_net_buys_12m,24,0.0,3.667174564477627,19689,20367,0.0,3.7160337552742617,19689,0.9667108557961408
win_100,ev_total_t12,-24,13.0,14.1549361328024,19337,20367,13.0,14.226808336738864,19337,0.9494279962684735
